location,realm,normalized_x,normalized_y,region,biome_id,distance_to_capital,forced,contract,verdict
isengard,ISE,0.4666667,0.4621397,me_rohan_region,1,0.0002430,yes,Isengard is an active fortress of Isengard at TA 3018,accepted_required_frontier_owner
helms_deep,ROH,0.4754579,0.5139228,me_rohan_region,1,0.0524160,yes,Helm's Deep is an active fortress of Rohan at TA 3018,accepted_required_frontier_owner
edoras,ROH,0.4986569,0.5383488,me_rohan_region,1,0.0000408,yes,Edoras is an active city of Rohan at TA 3018,accepted_required_frontier_owner
aldberg,ROH,0.5081807,0.5476307,me_rohan_region,1,0.0212065,yes,Aldburg is an active town of Rohan at TA 3018,accepted_required_frontier_owner
dunharrow,ROH,0.4967033,0.5530044,me_rohan_region,1,0.0152070,yes,Dunharrow is an active fortress of Rohan at TA 3018,accepted_required_frontier_owner
minas_tirith,GON,0.5782662,0.6111383,me_anorien_region,1,0.0002519,yes,Minas Tirith is an active capital of Gondor at TA 3018,accepted_required_frontier_owner
osgiliath,WILD,0.5924298,0.6038105,me_ithilien_region,1,,no,deliberately unclaimed,wild_ithilien
minas_morgul,MOR,0.6073260,0.5955056,me_ithilien_region,1,0.0766744,yes,Minas Morgul is an active fortress of Mordor at TA 3018,accepted_required_frontier_owner
morannon,MOR,0.6097680,0.5295554,me_brown_lands_region,1,0.0814473,yes,The Morannon is an active fortress of Mordor at TA 3018,accepted_required_frontier_owner
barad_dur,MOR,0.6439560,0.5735222,me_mordor_region,1,0.0001922,yes,Barad-dûr is an active capital of Mordor at TA 3018,accepted_required_frontier_owner
mount_doom,MOR,0.6285714,0.5769419,me_mordor_region,8,0.0311507,yes,Orodruin is an active landmark of Mordor at TA 3018,accepted_required_frontier_owner
nurn_fields,MOR,0.6380952,0.6692721,me_mordor_region,8,0.0964993,yes,Fields of Nurn is an active town of Mordor at TA 3018,accepted_required_frontier_owner
pelargir,GON,0.5719170,0.6858818,me_lebennin_region,1,0.0756263,yes,Pelargir is an active city of Gondor at TA 3018,accepted_required_frontier_owner
dol_amroth,DAM,0.4891331,0.6726917,me_belfalas_region,1,0.0001962,yes,Dol Amroth is an active city of Gondor at TA 3018,accepted_required_frontier_owner
linhir,GON,0.5333333,0.6814851,me_lebennin_region,1,0.1138732,yes,Linhir is an active town of Gondor at TA 3018,accepted_required_frontier_owner
calembel,GON,0.5196581,0.6174890,me_belfalas_region,1,0.1171835,yes,Calembel is an active town of Gondor at TA 3018,accepted_required_frontier_owner
erech,GON,0.4998779,0.5686370,me_belfalas_region,1,0.1622872,yes,Erech is an active town of Gondor at TA 3018,accepted_required_frontier_owner
umbar,UMB,0.5096459,0.9355154,me_umbar_region,9,0.0001467,yes,Umbar is an active city of Umbar at TA 3018,accepted_required_frontier_owner
pelennor,GON,0.5819292,0.6101612,me_anorien_region,1,0.0076075,yes,Pelennor is an active landmark of Gondor at TA 3018,accepted_required_frontier_owner
me_land_0001,LOS,0.2112332,0.0332193,me_forochel_region,1,0.2632754,no,Lossoth settlements around the Icebay,accepted_source_side_envelope
me_land_0002,LOS,0.2334554,0.0635076,me_forochel_region,1,0.2168579,no,Lossoth settlements around the Icebay,accepted_source_side_envelope
me_land_0003,WILD,0.1445665,0.1744016,me_lindon_region,1,,no,deliberately unclaimed,wild_reviewed_component: unattested remote island beyond Lindon's coast
me_land_0004,GON,0.5267399,0.7288715,me_lebennin_region,1,0.1562158,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0005,WILD,0.7619048,0.6135809,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0006,MOR,0.6681319,0.5070835,me_mordor_region,9,0.0820486,no,Mordor inside the source-reviewed Ered Lithui and Ephel Duath enclosure,accepted_frontier_polygon
me_land_0007,WILD,0.8029304,0.0786517,me_northern_wastes_region,1,,no,deliberately unclaimed,wild_forodwaith
me_land_0008,WILD,0.3374847,0.3761602,me_enedwaith_region,1,,no,deliberately unclaimed,wild_enedwaith
me_land_0009,WILD,0.7667888,0.6038105,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0010,ROH,0.5069597,0.5232047,me_rohan_region,1,0.0224466,no,"The Mark between Isen, Anduin, and White Mountains",accepted_source_side_envelope
me_land_0011,GON,0.5641026,0.5784074,me_anorien_region,1,0.0432782,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0012,WILD,0.7499389,0.4543234,me_rhun_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0013,WILD,0.5733822,0.5354177,me_brown_lands_region,6,,no,deliberately unclaimed,wild_brown_lands
me_land_0014,GON,0.5167277,0.5652174,me_belfalas_region,1,0.1312359,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0015,BEO,0.5350427,0.1831949,me_anduin_vale_region,1,0.0116286,no,Beorning crossings and upper Anduin vales,accepted_source_side_envelope
me_land_0016,WILD,0.4000000,0.3444064,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0017,WILD,0.7462759,0.5354177,me_mordor_region,8,,no,deliberately unclaimed,wild_unclaimed
me_land_0018,WILD,0.7853480,0.6902785,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0019,WILD,0.5194139,0.4069370,me_anduin_vale_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0020,GON,0.3548230,0.6858818,me_belfalas_region,1,0.4528742,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0021,MOR,0.6888889,0.5251588,me_mordor_region,9,0.1018790,no,Mordor inside the source-reviewed Ered Lithui and Ephel Duath enclosure,accepted_frontier_polygon
me_land_0022,MOR,0.6253968,0.6609673,me_mordor_region,8,0.0950824,no,Mordor inside the source-reviewed Ered Lithui and Ephel Duath enclosure,accepted_frontier_polygon
me_land_0023,GON,0.5802198,0.6463117,me_south_gondor_region,1,0.0352553,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0024,WILD,0.4991453,0.2740596,me_anduin_vale_region,1,,no,deliberately unclaimed,wild_buffer
me_land_0025,GON,0.5587302,0.5095261,me_rohan_region,1,0.1089423,no,occupied-claim: The Argonath remained a Gondorian northern landmark despite the deserted district.,accepted_required_frontier_owner
me_land_0026,HRA,0.7299145,0.9052272,me_near_harad_region,10,0.1153403,no,"Qarsad's inland Near Harad sphere, separated from Harnendor and Khand",accepted_frontier_polygon
me_land_0027,RH2,0.7885226,0.4259893,me_rhun_region,9,0.0793807,no,southeastern Rhûn wain-kingdom beyond the Sea of Rhûn,accepted_frontier_polygon
me_land_0028,LIN,0.2710623,0.3185149,me_lindon_region,1,0.1197078,no,Lindon west of the Blue Mountains,accepted_source_side_envelope
me_land_0029,MOR,0.6837607,0.5329751,me_mordor_region,9,0.0891643,no,Mordor inside the source-reviewed Ered Lithui and Ephel Duath enclosure,accepted_frontier_polygon
me_land_0030,WILD,0.3746032,0.2730826,me_shire_breeland_region,1,,no,deliberately unclaimed,wild_buffer
me_land_0031,HNE,0.6744811,0.7845628,me_near_harad_region,9,0.0717651,no,Harnendor between the Poros approaches and the Harnen,accepted_frontier_polygon
me_land_0032,RAN,0.4717949,0.3067904,me_enedwaith_region,1,0.0373447,no,The Angle and immediate Ranger refuge,accepted_source_side_envelope
me_land_0033,WOO,0.5604396,0.1939424,me_mirkwood_region,3,0.0565328,no,Arda Maps Mirkwood polygon: northern/eastern Woodland Realm; Thranduil's northern and eastern Mirkwood; Woodland Realm in northern and northeastern Mirkwood,accepted_source_zone_overlap
me_land_0034,FAN,0.4969475,0.4264778,me_anduin_vale_region,3,0.0363294,no,Arda Maps Fangorn physical woodland polygon; Fangorn source forest and Entwash headwaters,accepted_source_zone_overlap
me_land_0035,WILD,0.5665446,0.3942355,me_brown_lands_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0036,WILD,0.5650794,0.1226185,me_grey_mountains_region,3,,no,deliberately unclaimed,wild_unclaimed
me_land_0037,WILD,0.3870574,0.3390327,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0038,WILD,0.4107448,0.3771373,me_enedwaith_region,1,,no,deliberately unclaimed,wild_enedwaith
me_land_0039,BLU,0.2717949,0.1499756,me_lindon_region,1,0.0482806,no,Surviving Ered Luin halls,accepted_source_side_envelope
me_land_0040,GON,0.4715507,0.5969712,me_belfalas_region,1,0.2137153,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0041,GON,0.5391941,0.5915975,me_anorien_region,1,0.0803983,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0042,GON,0.5282051,0.5832926,me_anorien_region,1,0.1037754,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0043,WILD,0.8329670,0.0576453,me_northern_wastes_region,1,,no,deliberately unclaimed,wild_forodwaith
me_land_0044,HNE,0.5970696,0.7762579,me_near_harad_region,1,0.0853193,no,Harnendor between the Poros approaches and the Harnen,accepted_frontier_polygon
me_land_0045,WILD,0.7631258,0.0669272,me_northern_wastes_region,1,,no,deliberately unclaimed,wild_forodwaith
me_land_0046,DOR,0.6891331,0.3483146,me_rhun_region,9,0.0094146,no,Dorwinion around the northwest Sea of Rhûn,accepted_source_side_envelope
me_land_0047,KHA,0.8239316,0.7479238,me_khand_region,9,0.1378309,no,"Khand east and southeast of Mordor, excluding Far Harad",accepted_frontier_polygon
me_land_0048,WILD,0.4517705,0.5339521,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0049,WILD,0.4051282,0.5021983,me_enedwaith_region,1,,no,deliberately unclaimed,wild_enedwaith
me_land_0050,WILD,0.7186813,0.4738642,me_rhun_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0051,WILD,0.6666667,0.1177333,me_northern_wastes_region,5,,no,deliberately unclaimed,wild_forodwaith
me_land_0052,RH2,0.8097680,0.3869077,me_rhun_region,9,0.0417592,no,southeastern Rhûn wain-kingdom beyond the Sea of Rhûn,accepted_frontier_polygon
me_land_0053,UMB,0.5301587,0.8568637,me_near_harad_region,9,0.0888402,no,Umbar coast and corsair hinterland,accepted_source_side_envelope
me_land_0054,MOR,0.6796093,0.7029800,me_mordor_region,8,0.1477142,no,Mordor inside the source-reviewed Ered Lithui and Ephel Duath enclosure,accepted_frontier_polygon
me_land_0055,GON,0.4744811,0.5925745,me_belfalas_region,1,0.2082172,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0056,WILD,0.7001221,0.8177821,me_khand_region,10,,no,deliberately unclaimed,wild_unclaimed
me_land_0057,WILD,0.7868132,0.9926722,me_far_harad_region,10,,no,deliberately unclaimed,wild_unclaimed
me_land_0058,ROH,0.5177045,0.5329751,me_rohan_region,1,0.0384665,no,"The Mark between Isen, Anduin, and White Mountains",accepted_source_side_envelope
me_land_0059,WILD,0.4161172,0.4445530,me_enedwaith_region,1,,no,deliberately unclaimed,wild_enedwaith
me_land_0060,HNE,0.6410256,0.7674646,me_near_harad_region,9,0.0262183,no,Harnendor between the Poros approaches and the Harnen,accepted_frontier_polygon
me_land_0061,DOR,0.6808303,0.3873962,me_rhun_region,9,0.0369626,no,Dorwinion around the northwest Sea of Rhûn,accepted_source_side_envelope
me_land_0062,RAN,0.4864469,0.2808989,me_north_arnor_region,1,0.0253557,no,The Angle and immediate Ranger refuge,accepted_source_side_envelope
me_land_0063,WILD,0.7242979,0.6839277,me_mordor_region,8,,no,deliberately unclaimed,wild_unclaimed
me_land_0064,WILD,0.7875458,0.6082071,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0065,ROH,0.5391941,0.4347826,me_rohan_region,9,0.1314935,no,"The Mark between Isen, Anduin, and White Mountains",accepted_source_side_envelope
me_land_0066,DUN,0.4512821,0.4748412,me_enedwaith_region,1,0.0399120,no,"Dunland lowlands west of Isen and the Gap, south of Glanduin",accepted_frontier_polygon
me_land_0067,GON,0.5726496,0.7073766,me_lebennin_region,1,0.0967125,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0068,WILD,0.7736264,0.6829507,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0069,GON,0.4466422,0.6267709,me_belfalas_region,1,0.2635063,no,occupied-fief: Pinnath Gelin is a fief of Gondor in the southern White Mountains.,accepted_required_frontier_owner
me_land_0070,WILD,0.8207570,0.0297997,me_northern_wastes_region,1,,no,deliberately unclaimed,wild_forodwaith
me_land_0071,WILD,0.3750916,0.4616512,me_enedwaith_region,1,,no,deliberately unclaimed,wild_enedwaith
me_land_0072,DOL,0.5684982,0.3331705,me_mirkwood_region,3,0.0309820,no,Arda Maps Mirkwood polygon: southern Dol Guldur shadow; Dol Guldur's southern Mirkwood shadow; Dol Guldur's southern Mirkwood shadow,accepted_source_zone_overlap
me_land_0073,GON,0.5206349,0.5842697,me_belfalas_region,1,0.1181975,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0074,RH3,0.7978022,0.1568149,me_rhun_region,1,0.0619349,no,northeastern Rhûn confederation beyond the Iron Hills,accepted_frontier_polygon
me_land_0075,ESG,0.6229548,0.1739130,me_dale_region,1,0.0474909,no,Lake-town and Long Lake shore,accepted_source_side_envelope
me_land_0076,UMB,0.4810745,0.9775281,me_umbar_region,10,0.0708353,no,Umbar coast and corsair hinterland,accepted_source_side_envelope
me_land_0077,ROH,0.4879121,0.5236932,me_rohan_region,1,0.0259885,no,"The Mark between Isen, Anduin, and White Mountains",accepted_source_side_envelope
me_land_0078,WILD,0.8312576,0.7103078,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0079,WILD,0.6356532,0.1187103,me_northern_wastes_region,1,,no,deliberately unclaimed,wild_forodwaith
me_land_0080,DOL,0.5584860,0.3873962,me_brown_lands_region,9,0.0359310,no,Arda Maps Mirkwood polygon: southern Dol Guldur shadow; Dol Guldur's southern Mirkwood shadow; Dol Guldur's southern Mirkwood shadow,accepted_source_zone_overlap
me_land_0081,WILD,0.7560440,0.0556913,me_northern_wastes_region,1,,no,deliberately unclaimed,wild_forodwaith
me_land_0082,MOR,0.6158730,0.5398144,me_mordor_region,1,0.0656634,no,occupied-interior: Udûn is the occupied northern vale inside Mordor's mountain wall.,accepted_required_frontier_owner
me_land_0083,WILD,0.6251526,0.0151441,me_northern_wastes_region,5,,no,deliberately unclaimed,wild_forodwaith
me_land_0084,WILD,0.3347985,0.2857841,me_shire_breeland_region,1,,no,deliberately unclaimed,wild_buffer
me_land_0085,GON,0.5296703,0.6297020,me_anorien_region,1,0.0987263,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0086,UMB,0.5191697,0.9042501,me_umbar_region,9,0.0367378,no,Umbar coast and corsair hinterland,accepted_source_side_envelope
me_land_0087,DAM,0.4905983,0.6331216,me_belfalas_region,1,0.0398598,no,Dol Amroth and Belfalas peninsula,accepted_source_side_envelope
me_land_0088,IRO,0.6608059,0.1358085,me_rhun_region,1,0.0348880,no,Iron Hills source label and adjacent holds,accepted_source_side_envelope
me_land_0089,WILD,0.6007326,0.3839766,me_brown_lands_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0090,RH2,0.8002442,0.2921348,me_rhun_region,9,0.0578672,no,southeastern Rhûn wain-kingdom beyond the Sea of Rhûn,accepted_frontier_polygon
me_land_0091,GON,0.6437118,0.7562286,me_south_gondor_region,9,0.1954212,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0092,WILD,0.7355311,0.5241817,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0093,RH3,0.8363858,0.1880801,me_rhun_region,1,0.0348721,no,northeastern Rhûn confederation beyond the Iron Hills,accepted_frontier_polygon
me_land_0094,WILD,0.3829060,0.5559355,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0095,LOS,0.3223443,0.0161212,me_forochel_region,5,0.0629372,no,Lossoth settlements around the Icebay,accepted_source_side_envelope
me_land_0096,WILD,0.8075702,0.9115779,me_far_harad_region,10,,no,deliberately unclaimed,wild_unclaimed
me_land_0097,WILD,0.4739927,0.0322423,me_angmar_region,5,,no,deliberately unclaimed,wild_unclaimed
me_land_0098,WILD,0.3626374,0.3063019,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0099,WILD,0.5897436,0.4411334,me_brown_lands_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0100,HNE,0.6405372,0.8236444,me_near_harad_region,9,0.0305028,no,Harnendor between the Poros approaches and the Harnen,accepted_frontier_polygon
me_land_0101,WILD,0.4114774,0.1587689,me_north_arnor_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0102,WILD,0.7294261,0.6306790,me_mordor_region,8,,no,deliberately unclaimed,wild_unclaimed
me_land_0103,WILD,0.7841270,0.6082071,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0104,WILD,0.5760684,0.1108940,me_northern_wastes_region,5,,no,deliberately unclaimed,wild_forodwaith
me_land_0105,GON,0.6293040,0.7181241,me_south_gondor_region,9,0.1478912,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0106,ROH,0.5435897,0.4992672,me_rohan_region,1,0.0979795,no,"The Mark between Isen, Anduin, and White Mountains",accepted_source_side_envelope
me_land_0107,RHU,0.7643468,0.1914998,me_rhun_region,1,0.0595828,no,western Rhûn polity north and east of Dorwinion,accepted_frontier_polygon
me_land_0108,DOL,0.5536020,0.3263312,me_mirkwood_region,1,0.0259396,no,Arda Maps Mirkwood polygon: southern Dol Guldur shadow; Dol Guldur's southern Mirkwood shadow; Dol Guldur's southern Mirkwood shadow,accepted_source_zone_overlap
me_land_0109,WILD,0.4476190,0.5188080,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0110,WILD,0.5938950,0.3067904,me_mirkwood_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0111,WILD,0.6053724,0.6624328,me_ithilien_region,1,,no,deliberately unclaimed,wild_ithilien
me_land_0112,MOR,0.6312576,0.5329751,me_mordor_region,9,0.0479369,no,Mordor inside the source-reviewed Ered Lithui and Ephel Duath enclosure,accepted_frontier_polygon
me_land_0113,WILD,0.6439560,0.4948705,me_brown_lands_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0114,WILD,0.5926740,0.5872008,me_ithilien_region,1,,no,deliberately unclaimed,wild_ithilien
me_land_0115,WILD,0.3792430,0.3234001,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0116,WILD,0.3870574,0.3238886,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0117,LOS,0.2102564,0.0644846,me_forochel_region,1,0.2632490,no,Lossoth settlements around the Icebay,accepted_source_side_envelope
me_land_0118,UMB,0.5025641,0.8876404,me_umbar_region,1,0.0500656,no,Umbar coast and corsair hinterland,accepted_source_side_envelope
me_land_0119,ROH,0.4576313,0.5574011,me_rohan_region,1,0.0842436,no,"The Mark between Isen, Anduin, and White Mountains",accepted_source_side_envelope
me_land_0120,GON,0.3692308,0.6731803,me_belfalas_region,1,0.4224319,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0121,DOL,0.5521368,0.3580850,me_mirkwood_region,3,0.0101487,no,Arda Maps Mirkwood polygon: southern Dol Guldur shadow; Dol Guldur's southern Mirkwood shadow; Dol Guldur's southern Mirkwood shadow,accepted_source_zone_overlap
me_land_0122,WDM,0.5575092,0.2589155,me_mirkwood_region,3,0.0420548,no,Arda Maps Mirkwood polygon: western Woodmen settlements; Woodmen settlements in western Mirkwood; Woodmen clearings along western and central Mirkwood,accepted_source_zone_overlap
me_land_0123,UMB,0.5186813,0.8856864,me_umbar_region,9,0.0531437,no,Umbar coast and corsair hinterland,accepted_source_side_envelope
me_land_0124,GUN,0.5218559,0.1441133,me_grey_mountains_region,1,0.0570566,no,Gundabad and the northern mountain junction,accepted_source_side_envelope
me_land_0125,WILD,0.7313797,0.4460186,me_rhun_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0126,ERE,0.5982906,0.1314118,me_dale_region,1,0.0068046,no,Lonely Mountain and its immediate source-centred approaches,accepted_frontier_polygon
me_land_0127,WILD,0.7743590,0.0547142,me_northern_wastes_region,1,,no,deliberately unclaimed,wild_forodwaith
me_land_0128,GOB,0.5162393,0.2095750,me_anduin_vale_region,1,0.0220394,no,Goblin-town and High Pass under the Misty Mountains,accepted_source_side_envelope
me_land_0129,WILD,0.4170940,0.3199805,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0130,ROH,0.5589744,0.5525159,me_rohan_region,1,0.1214685,no,"The Mark between Isen, Anduin, and White Mountains",accepted_source_side_envelope
me_land_0131,WILD,0.7682540,0.0234489,me_northern_wastes_region,1,,no,deliberately unclaimed,wild_forodwaith
me_land_0132,MOR,0.6776557,0.7127504,me_mordor_region,8,0.1546106,no,Mordor inside the source-reviewed Ered Lithui and Ephel Duath enclosure,accepted_frontier_polygon
me_land_0133,WILD,0.7013431,0.8671226,me_khand_region,10,,no,deliberately unclaimed,wild_unclaimed
me_land_0134,WILD,0.6522589,0.4714216,me_brown_lands_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0135,GON,0.5374847,0.6331216,me_lebennin_region,1,0.0842429,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0136,WILD,0.7636142,0.5173425,me_rhun_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0137,WILD,0.3948718,0.2745481,me_shire_breeland_region,1,,no,deliberately unclaimed,wild_buffer
me_land_0138,WILD,0.4319902,0.3878847,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0139,WILD,0.7980464,0.5437225,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0140,DAM,0.5062271,0.6985833,me_belfalas_region,1,0.0428507,no,Dol Amroth and Belfalas peninsula,accepted_source_side_envelope
me_land_0141,GON,0.4649573,0.5847582,me_belfalas_region,1,0.2279714,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0142,GON,0.5399267,0.7147044,me_lebennin_region,1,0.1286191,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0143,WILD,0.3299145,0.3444064,me_enedwaith_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0144,WILD,0.7133089,0.5109917,me_rhun_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0145,UMB,0.4500611,0.9985344,me_umbar_region,9,0.1347348,no,Umbar coast and corsair hinterland,accepted_source_side_envelope
me_land_0146,WILD,0.5768010,0.4088911,me_brown_lands_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0147,HNE,0.6871795,0.7738153,me_near_harad_region,9,0.0985749,no,Harnendor between the Poros approaches and the Harnen,accepted_frontier_polygon
me_land_0148,GON,0.4300366,0.6013679,me_belfalas_region,1,0.2964290,no,Gondor fiefs from Anfalas to the Anduin,accepted_source_side_envelope
me_land_0149,WILD,0.8422466,0.6731803,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0150,WILD,0.6285714,0.2325354,me_mirkwood_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0151,BEO,0.5477411,0.1621886,me_mirkwood_region,3,0.0443658,no,Beorning crossings and upper Anduin vales,accepted_source_side_envelope
me_land_0152,WILD,0.5433455,0.0815828,me_northern_wastes_region,5,,no,deliberately unclaimed,wild_forodwaith
me_land_0153,WILD,0.8046398,0.5432340,me_mordor_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0154,MOR,0.6654457,0.5686370,me_mordor_region,8,0.0430640,no,Mordor inside the source-reviewed Ered Lithui and Ephel Duath enclosure,accepted_frontier_polygon
me_land_0155,WILD,0.4117216,0.1270151,me_north_arnor_region,1,,no,deliberately unclaimed,wild_unclaimed
me_land_0156,WILD,0.6180708,0.2950660,me_mirkwood_region,9,,no,deliberately unclaimed,wild_unclaimed
me_land_0157,WILD,0.5992674,0.0117245,me_northern_wastes_region,5,,no,deliberately unclaimed,wild_forodwaith
